TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0007169	"cell surface receptor protein tyrosine kinase signaling pathway"	-2.96657624451305	5.142599053364366	0.39424319648997336	0.8855460699976377	0.1577011	null
GO:0007409	"axonogenesis"	-4.4089353929735005	5.130954205362452	0.3838126411063361	0.8459282652843687	0	null
GO:0008045	"motor neuron axon guidance"	8045	-1.7187393129449873	3.9723879991074726	0.026638514198330906	0.8463900649720028	0.78838694	7409
GO:0010976	"positive regulation of neuron projection development"	-4.6777807052660805	4.253265293690157	0.05086386234437776	0.7246473415866779	0.38649134	null
GO:0033387	"putrescine biosynthetic process from arginine, via ornithine"	-2.114638779968488	3.8567892887533164	0.02041254578343805	0.9067092682287939	0.00251689	null
GO:0033674	"positive regulation of kinase activity"	-3.309803919971486	2.6127838567197355	0.0011611587239813855	0.8070729629539516	0.30791666	null
GO:0035336	"long-chain fatty-acyl-CoA metabolic process"	-1.6403542073254571	4.188478495913935	0.043814578452823286	0.7428078516891873	0.20355508	null
GO:0035337	"fatty-acyl-CoA metabolic process"	35337	-1.4663550212012373	4.368417060738562	0.0663081250789957	0.7398308635132891	0.79372957	35336
GO:0051496	"positive regulation of stress fiber assembly"	-2.5900668766687054	3.822625678774141	0.018868119509976255	0.7331954913432832	0.64532239	null
GO:0051897	"positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"	-4.6777807052660805	4.4076967576338975	0.07258519583381928	0.771876801065282	0	null
GO:1901568	"fatty acid derivative metabolic process"	-1.450874073241889	4.946083646106883	0.25075350400227847	0.8405768658709096	0.37654021	null
