OG0000060_00@Anofun|LOC125772428	XP_049300092.1	87.5	1207	150	1	1	1206	1259	2465	6.36e-263	823
OG0000060_00@Anofun|LOC125772428	XP_052895904.1	83.8	1200	194	1	8	1206	1	1200	2.09e-195	614
OG0000060_00@Anofun|LOC125772428	XP_052895905.1	80.2	1200	237	1	8	1206	1	1200	1.61e-179	572
OG0000060_00@Anofun|LOC125772428	XP_053664046.1	82.3	1174	207	1	8	1180	1	1174	1.43e-173	578
OG0000060_00@Anofun|LOC125772428	XP_035917320.1	78.6	1206	257	1	1	1205	1245	2450	1.14e-154	526
OG0000060_00@Anofun|LOC125772428	XP_050072884.1	73.6	1206	317	1	1	1205	1	1206	6.83e-140	467
OG0000060_00@Anofun|LOC125772428	EAL41885.3	67.2	778	251	2	430	1205	409	1184	2.21e-131	443
OG0000060_00@Anofun|LOC125772428	XP_061503045.1	67.6	774	247	2	434	1205	435	1206	1.27e-130	442
OG0000060_00@Anofun|LOC125772428	XP_040151309.1	64.5	775	269	4	434	1205	435	1206	1.67e-127	433
OG0000060_00@Anofun|LOC125772428	XP_049467159.1	67.7	772	245	2	435	1204	346	1115	5.15e-125	439
OG0000060_00@Anofun|LOC125772428	XP_041769625.1	64.8	762	263	3	447	1205	3	762	4.77e-121	426
OG0000060_00@Anofun|LOC125772428	XP_050072885.1	69.9	1200	322	2	1	1180	1	1181	2.44e-119	422
OG0000060_00@Anofun|LOC125772428	XP_040153052.1	63.2	775	280	3	434	1205	435	1207	2.48e-116	413
OG0000060_00@Anofun|LOC125772428	XP_053674706.1	51.2	742	358	3	465	1205	1631	2369	1.37e-80	305
OG0000060_00@Anofun|LOC125772428	XP_058123171.1	53.4	775	353	4	434	1205	495	1264	3.28e-78	295
OG0000060_00@Anofun|LOC125772428	KFB50459.1	57.3	747	315	3	435	1178	435	1180	3.20e-67	263
OG0000060_00@Anofun|LOC125772428	KFB50469.1	56.5	437	189	1	747	1183	694	1129	5.85e-57	229
OG0000060_00@Anofun|LOC125772428	XP_035785141.1	48.4	774	383	8	442	1205	457	1224	1.77e-55	225
OG0000060_00@Anofun|LOC125772428	XP_050091882.1	46.6	774	397	9	442	1205	355	1122	8.89e-55	222
OG0000060_00@Anofun|LOC125772428	XP_050091881.1	47.7	775	387	10	442	1205	355	1122	4.62e-53	217
OG0000060_00@Anofun|LOC125772428	KFB50466.1	54.5	453	200	6	733	1183	684	1132	2.02e-48	202
OG0000060_00@Anofun|LOC125772428	XP_058123172.1	48.4	471	237	3	736	1205	738	1203	2.05e-46	196
OG0000060_00@Anofun|LOC125772428	XP_035785140.1	47.8	774	388	8	442	1205	457	1224	2.82e-46	196
OG0000060_00@Anofun|LOC125772428	XP_049540993.1	43.2	461	250	8	750	1205	304	757	3.22e-41	177
OG0000060_00@Anofun|LOC125772428	KFB50460.1	53.3	424	195	3	733	1154	611	1033	7.96e-37	165
OG0000060_01@Anogam|LOC5666869	XP_061503046.1	99.8	1154	0	2	1	1152	1	1154	1.06e-267	798
OG0000060_01@Anogam|LOC5666869	XP_049467159.1	87.4	1228	79	3	1	1152	1158	2385	7.18e-240	758
OG0000060_01@Anogam|LOC5666869	XP_041769625.1	91.6	1154	95	2	1	1152	806	1959	8.20e-216	685
OG0000060_01@Anogam|LOC5666869	XP_040153052.1	92.5	1154	85	2	1	1152	1225	2378	4.28e-207	669
OG0000060_01@Anogam|LOC5666869	EDO64711.1	88.9	561	61	1	593	1152	538	1098	1.34e-195	609
OG0000060_01@Anogam|LOC5666869	XP_052895900.1	61.9	559	210	3	596	1152	598	1155	2.23e-105	371
OG0000060_01@Anogam|LOC5666869	XP_053664044.1	64.9	558	194	2	596	1152	598	1154	4.21e-101	359
OG0000060_01@Anogam|LOC5666869	XP_052895902.1	61.9	559	210	3	596	1152	598	1155	1.91e-99	354
OG0000060_01@Anogam|LOC5666869	XP_049300088.1	70.9	560	157	4	596	1151	1777	2334	5.01e-93	342
OG0000060_01@Anogam|LOC5666869	XP_052895903.1	62.0	521	195	3	634	1152	558	1077	2.34e-85	313
OG0000060_01@Anogam|LOC5666869	XP_053664046.1	57.9	558	233	2	596	1152	1766	2322	1.28e-74	286
OG0000060_01@Anogam|LOC5666869	XP_050072885.1	61.6	513	196	1	628	1139	1780	2292	6.99e-73	280
OG0000060_01@Anogam|LOC5666869	XP_035913222.1	71.6	401	113	1	739	1138	740	1140	3.61e-61	242
OG0000060_01@Anogam|LOC5666869	XP_053677204.1	55.2	545	243	1	595	1138	599	1143	3.86e-54	220
